"","state","state.fips","county","county.code","commodity","data.item","domain.category","value"
"Colorado.4214","COLORADO",8,"RIO GRANDE",105,"COMMODITY TOTALS","COMMODITY TOTALS - SALES, MEASURED IN $","","98,956,000"
"Colorado.4215","COLORADO",8,"RIO GRANDE",105,"COMMODITY TOTALS","COMMODITY TOTALS - SALES, MEASURED IN $ / OPERATION","","308,275"
"Colorado.4216","COLORADO",8,"RIO GRANDE",105,"CROP TOTALS","CROP TOTALS - SALES, MEASURED IN $","","87,758,000"
"Colorado.4217","COLORADO",8,"RIO GRANDE",105,"ANIMAL TOTALS","ANIMAL TOTALS, INCL PRODUCTS - SALES, MEASURED IN $","","11,198,000"
"Colorado.4218","COLORADO",8,"RIO GRANDE",105,"COMMODITY TOTALS","COMMODITY TOTALS - OPERATIONS WITH SALES","",""
"Colorado.4219","COLORADO",8,"RIO GRANDE",105,"COMMODITY TOTALS","COMMODITY TOTALS - OPERATIONS WITH SALES","FARM SALES: (LESS THAN 2,500 $)","78"
"Colorado.4220","COLORADO",8,"RIO GRANDE",105,"COMMODITY TOTALS","COMMODITY TOTALS - OPERATIONS WITH SALES","FARM SALES: (2,500 TO 4,999 $)","29"
"Colorado.4221","COLORADO",8,"RIO GRANDE",105,"COMMODITY TOTALS","COMMODITY TOTALS - OPERATIONS WITH SALES","FARM SALES: (5,000 TO 9,999 $)","20"
"Colorado.4222","COLORADO",8,"RIO GRANDE",105,"COMMODITY TOTALS","COMMODITY TOTALS - OPERATIONS WITH SALES","FARM SALES: (10,000 TO 24,999 $)","25"
"Colorado.4223","COLORADO",8,"RIO GRANDE",105,"COMMODITY TOTALS","COMMODITY TOTALS - OPERATIONS WITH SALES","FARM SALES: (25,000 TO 49,999 $)","24"
"Colorado.4224","COLORADO",8,"RIO GRANDE",105,"COMMODITY TOTALS","COMMODITY TOTALS - OPERATIONS WITH SALES","FARM SALES: (50,000 TO 99,999 $)","27"
"Colorado.4225","COLORADO",8,"RIO GRANDE",105,"COMMODITY TOTALS","COMMODITY TOTALS - OPERATIONS WITH SALES","FARM SALES: (100,000 OR MORE $)","118"
"Colorado.4226","COLORADO",8,"RIO GRANDE",105,"GOVT PROGRAMS","GOVT PROGRAMS, FEDERAL - OPERATIONS WITH RECEIPTS","","85"
"Colorado.4227","COLORADO",8,"RIO GRANDE",105,"GOVT PROGRAMS","GOVT PROGRAMS, FEDERAL - RECEIPTS, MEASURED IN $","","998,000"
"Colorado.4228","COLORADO",8,"RIO GRANDE",105,"INCOME, FARM-RELATED","INCOME, FARM-RELATED - OPERATIONS WITH RECEIPTS","","185"
"Colorado.4229","COLORADO",8,"RIO GRANDE",105,"INCOME, FARM-RELATED","INCOME, FARM-RELATED - RECEIPTS, MEASURED IN $","","6,196,000"
"Colorado.4230","COLORADO",8,"RIO GRANDE",105,"EXPENSE TOTALS","EXPENSE TOTALS, OPERATING - EXPENSE, MEASURED IN $","","72,275,000"
"Colorado.4231","COLORADO",8,"RIO GRANDE",105,"EXPENSE TOTALS","EXPENSE TOTALS, OPERATING - EXPENSE, MEASURED IN $ / OPERATION","","225,156"
"Colorado.4232","COLORADO",8,"RIO GRANDE",105,"INCOME, NET CASH FARM","INCOME, NET CASH FARM, OF OPERATIONS - OPERATIONS WITH NET INCOME","","321"
"Colorado.4233","COLORADO",8,"RIO GRANDE",105,"INCOME, NET CASH FARM","INCOME, NET CASH FARM, OF OPERATIONS - NET INCOME, MEASURED IN $","","33,875,000"
"Colorado.4234","COLORADO",8,"RIO GRANDE",105,"INCOME, NET CASH FARM","INCOME, NET CASH FARM, OF OPERATIONS - NET INCOME, MEASURED IN $ / OPERATION","","105,529"
"Colorado.4235","COLORADO",8,"RIO GRANDE",105,"CATTLE","CATTLE, INCL CALVES - OPERATIONS WITH INVENTORY","","113"
"Colorado.4236","COLORADO",8,"RIO GRANDE",105,"CATTLE","CATTLE, INCL CALVES - INVENTORY","","10,598"
"Colorado.4237","COLORADO",8,"RIO GRANDE",105,"CATTLE","CATTLE, COWS, BEEF - OPERATIONS WITH INVENTORY","","97"
"Colorado.4238","COLORADO",8,"RIO GRANDE",105,"CATTLE","CATTLE, COWS, BEEF - INVENTORY","","7,011"
"Colorado.4239","COLORADO",8,"RIO GRANDE",105,"CATTLE","CATTLE, COWS, MILK - OPERATIONS WITH INVENTORY","","5"
"Colorado.4240","COLORADO",8,"RIO GRANDE",105,"CATTLE","CATTLE, COWS, MILK - INVENTORY","","28"
"Colorado.4241","COLORADO",8,"RIO GRANDE",105,"CATTLE","CATTLE, INCL CALVES - OPERATIONS WITH SALES","","100"
"Colorado.4242","COLORADO",8,"RIO GRANDE",105,"CATTLE","CATTLE, INCL CALVES - SALES, MEASURED IN HEAD","","7,527"
"Colorado.4243","COLORADO",8,"RIO GRANDE",105,"HOGS","HOGS - OPERATIONS WITH INVENTORY","","11"
"Colorado.4244","COLORADO",8,"RIO GRANDE",105,"HOGS","HOGS - INVENTORY","","312"
"Colorado.4245","COLORADO",8,"RIO GRANDE",105,"HOGS","HOGS - OPERATIONS WITH SALES","","12"
"Colorado.4246","COLORADO",8,"RIO GRANDE",105,"HOGS","HOGS - SALES, MEASURED IN HEAD","","208"
"Colorado.4247","COLORADO",8,"RIO GRANDE",105,"SHEEP","SHEEP, INCL LAMBS - OPERATIONS WITH INVENTORY","","20"
"Colorado.4248","COLORADO",8,"RIO GRANDE",105,"SHEEP","SHEEP, INCL LAMBS - INVENTORY","","12,518"
"Colorado.4249","COLORADO",8,"RIO GRANDE",105,"CHICKENS","CHICKENS, LAYERS - OPERATIONS WITH INVENTORY","","18"
"Colorado.4250","COLORADO",8,"RIO GRANDE",105,"CHICKENS","CHICKENS, LAYERS - INVENTORY","","570"
"Colorado.4251","COLORADO",8,"RIO GRANDE",105,"WHEAT","WHEAT - OPERATIONS WITH AREA HARVESTED","","11"
"Colorado.4252","COLORADO",8,"RIO GRANDE",105,"WHEAT","WHEAT - ACRES HARVESTED","","1,741"
"Colorado.4253","COLORADO",8,"RIO GRANDE",105,"WHEAT","WHEAT - PRODUCTION, MEASURED IN BU","","176,455"
"Colorado.4254","COLORADO",8,"RIO GRANDE",105,"WHEAT","WHEAT, SPRING, (EXCL DURUM) - OPERATIONS WITH AREA HARVESTED","","8"
"Colorado.4255","COLORADO",8,"RIO GRANDE",105,"WHEAT","WHEAT, SPRING, (EXCL DURUM) - ACRES HARVESTED","","1,405"
"Colorado.4256","COLORADO",8,"RIO GRANDE",105,"WHEAT","WHEAT, SPRING, (EXCL DURUM) - PRODUCTION, MEASURED IN BU","","143,635"
"Colorado.4257","COLORADO",8,"RIO GRANDE",105,"WHEAT","WHEAT, WINTER - OPERATIONS WITH AREA HARVESTED","","3"
"Colorado.4258","COLORADO",8,"RIO GRANDE",105,"WHEAT","WHEAT, WINTER - ACRES HARVESTED","","336"
"Colorado.4259","COLORADO",8,"RIO GRANDE",105,"WHEAT","WHEAT, WINTER - PRODUCTION, MEASURED IN BU","","32,820"
"Colorado.4260","COLORADO",8,"RIO GRANDE",105,"OATS","OATS - OPERATIONS WITH AREA HARVESTED","","2"
"Colorado.4261","COLORADO",8,"RIO GRANDE",105,"OATS","OATS - ACRES HARVESTED","","(D)"
"Colorado.4262","COLORADO",8,"RIO GRANDE",105,"OATS","OATS - PRODUCTION, MEASURED IN BU","","(D)"
"Colorado.4263","COLORADO",8,"RIO GRANDE",105,"BARLEY","BARLEY - OPERATIONS WITH AREA HARVESTED","","60"
"Colorado.4264","COLORADO",8,"RIO GRANDE",105,"BARLEY","BARLEY - ACRES HARVESTED","","18,567"
"Colorado.4265","COLORADO",8,"RIO GRANDE",105,"BARLEY","BARLEY - PRODUCTION, MEASURED IN BU","","2,457,795"
"Colorado.4266","COLORADO",8,"RIO GRANDE",105,"HAY & HAYLAGE","HAY & HAYLAGE - OPERATIONS WITH AREA HARVESTED","","187"
"Colorado.4267","COLORADO",8,"RIO GRANDE",105,"HAY & HAYLAGE","HAY & HAYLAGE - ACRES HARVESTED","","44,547"
"Colorado.4268","COLORADO",8,"RIO GRANDE",105,"HAY & HAYLAGE","HAY & HAYLAGE - PRODUCTION, MEASURED IN TONS, DRY BASIS","","153,737"
"Colorado.4269","COLORADO",8,"RIO GRANDE",105,"VEGETABLE TOTALS","VEGETABLE TOTALS, IN THE OPEN - OPERATIONS WITH AREA HARVESTED","","48"
"Colorado.4270","COLORADO",8,"RIO GRANDE",105,"VEGETABLE TOTALS","VEGETABLE TOTALS, IN THE OPEN - ACRES HARVESTED","","17,732"
"Colorado.4271","COLORADO",8,"RIO GRANDE",105,"POTATOES","POTATOES - OPERATIONS WITH AREA HARVESTED","","48"
"Colorado.4272","COLORADO",8,"RIO GRANDE",105,"POTATOES","POTATOES - ACRES HARVESTED","","(D)"
"Colorado.4273","COLORADO",8,"RIO GRANDE",105,"AG LAND","AG LAND, INCL BUILDINGS - OPERATIONS WITH ASSET VALUE","","321"
"Colorado.4274","COLORADO",8,"ROUTT",107,"FARM OPERATIONS","FARM OPERATIONS - NUMBER OF OPERATIONS","","887"
"Colorado.4275","COLORADO",8,"ROUTT",107,"FARM OPERATIONS","FARM OPERATIONS - NUMBER OF OPERATIONS","AREA OPERATED: (1.0 TO 9.9 ACRES)","91"
"Colorado.4276","COLORADO",8,"ROUTT",107,"FARM OPERATIONS","FARM OPERATIONS - NUMBER OF OPERATIONS","AREA OPERATED: (10.0 TO 49.9 ACRES)","355"
"Colorado.4277","COLORADO",8,"ROUTT",107,"FARM OPERATIONS","FARM OPERATIONS - NUMBER OF OPERATIONS","AREA OPERATED: (50 TO 179 ACRES)","195"
"Colorado.4278","COLORADO",8,"ROUTT",107,"FARM OPERATIONS","FARM OPERATIONS - NUMBER OF OPERATIONS","AREA OPERATED: (180 TO 499 ACRES)","83"
"Colorado.4279","COLORADO",8,"ROUTT",107,"FARM OPERATIONS","FARM OPERATIONS - NUMBER OF OPERATIONS","AREA OPERATED: (500 TO 999 ACRES)","58"
"Colorado.4280","COLORADO",8,"ROUTT",107,"FARM OPERATIONS","FARM OPERATIONS - NUMBER OF OPERATIONS","AREA OPERATED: (1,000 OR MORE ACRES)","105"
"Colorado.4281","COLORADO",8,"ROUTT",107,"FARM OPERATIONS","FARM OPERATIONS - ACRES OPERATED","","465,119"
"Colorado.4282","COLORADO",8,"ROUTT",107,"FARM OPERATIONS","FARM OPERATIONS - AREA OPERATED, MEASURED IN ACRES / OPERATION","","524"
"Colorado.4283","COLORADO",8,"ROUTT",107,"FARM OPERATIONS","FARM OPERATIONS - AREA OPERATED, MEASURED IN ACRES / OPERATION, MEDIAN","","49"
"Colorado.4284","COLORADO",8,"ROUTT",107,"AG LAND","AG LAND, INCL BUILDINGS - ASSET VALUE, MEASURED IN $ / OPERATION","","1,647,039"
"Colorado.4285","COLORADO",8,"ROUTT",107,"AG LAND","AG LAND, INCL BUILDINGS - ASSET VALUE, MEASURED IN $ / ACRE","","3,141"
"Colorado.4286","COLORADO",8,"ROUTT",107,"MACHINERY TOTALS","MACHINERY TOTALS - ASSET VALUE, MEASURED IN $","","61,505,000"
"Colorado.4287","COLORADO",8,"ROUTT",107,"MACHINERY TOTALS","MACHINERY TOTALS - ASSET VALUE, MEASURED IN $ / OPERATION","","69,340"
"Colorado.4288","COLORADO",8,"ROUTT",107,"AG LAND","AG LAND, CROPLAND - NUMBER OF OPERATIONS","","708"
"Colorado.4289","COLORADO",8,"ROUTT",107,"AG LAND","AG LAND, CROPLAND - ACRES","","80,958"
"Colorado.4290","COLORADO",8,"ROUTT",107,"AG LAND","AG LAND, CROPLAND, HARVESTED - NUMBER OF OPERATIONS","","613"
"Colorado.4291","COLORADO",8,"ROUTT",107,"AG LAND","AG LAND, CROPLAND, HARVESTED - ACRES","","47,525"
"Colorado.4292","COLORADO",8,"ROUTT",107,"AG LAND","AG LAND, IRRIGATED - NUMBER OF OPERATIONS","","338"
"Colorado.4293","COLORADO",8,"ROUTT",107,"AG LAND","AG LAND, IRRIGATED - ACRES","","42,745"
"Colorado.4294","COLORADO",8,"ROUTT",107,"COMMODITY TOTALS","COMMODITY TOTALS - SALES, MEASURED IN $","","31,647,000"
"Colorado.4295","COLORADO",8,"ROUTT",107,"COMMODITY TOTALS","COMMODITY TOTALS - SALES, MEASURED IN $ / OPERATION","","35,679"
"Colorado.4296","COLORADO",8,"ROUTT",107,"CROP TOTALS","CROP TOTALS - SALES, MEASURED IN $","","5,116,000"
"Colorado.4297","COLORADO",8,"ROUTT",107,"ANIMAL TOTALS","ANIMAL TOTALS, INCL PRODUCTS - SALES, MEASURED IN $","","26,531,000"
"Colorado.4298","COLORADO",8,"ROUTT",107,"COMMODITY TOTALS","COMMODITY TOTALS - OPERATIONS WITH SALES","",""
"Colorado.4299","COLORADO",8,"ROUTT",107,"COMMODITY TOTALS","COMMODITY TOTALS - OPERATIONS WITH SALES","FARM SALES: (LESS THAN 2,500 $)","459"
"Colorado.4300","COLORADO",8,"ROUTT",107,"COMMODITY TOTALS","COMMODITY TOTALS - OPERATIONS WITH SALES","FARM SALES: (2,500 TO 4,999 $)","117"
"Colorado.4301","COLORADO",8,"ROUTT",107,"COMMODITY TOTALS","COMMODITY TOTALS - OPERATIONS WITH SALES","FARM SALES: (5,000 TO 9,999 $)","81"
"Colorado.4302","COLORADO",8,"ROUTT",107,"COMMODITY TOTALS","COMMODITY TOTALS - OPERATIONS WITH SALES","FARM SALES: (10,000 TO 24,999 $)","74"
"Colorado.4303","COLORADO",8,"ROUTT",107,"COMMODITY TOTALS","COMMODITY TOTALS - OPERATIONS WITH SALES","FARM SALES: (25,000 TO 49,999 $)","47"
"Colorado.4304","COLORADO",8,"ROUTT",107,"COMMODITY TOTALS","COMMODITY TOTALS - OPERATIONS WITH SALES","FARM SALES: (50,000 TO 99,999 $)","49"
"Colorado.4305","COLORADO",8,"ROUTT",107,"COMMODITY TOTALS","COMMODITY TOTALS - OPERATIONS WITH SALES","FARM SALES: (100,000 OR MORE $)","60"
"Colorado.4306","COLORADO",8,"ROUTT",107,"GOVT PROGRAMS","GOVT PROGRAMS, FEDERAL - OPERATIONS WITH RECEIPTS","","96"
"Colorado.4307","COLORADO",8,"ROUTT",107,"GOVT PROGRAMS","GOVT PROGRAMS, FEDERAL - RECEIPTS, MEASURED IN $","","962,000"
"Colorado.4308","COLORADO",8,"ROUTT",107,"INCOME, FARM-RELATED","INCOME, FARM-RELATED - OPERATIONS WITH RECEIPTS","","340"
"Colorado.4309","COLORADO",8,"ROUTT",107,"INCOME, FARM-RELATED","INCOME, FARM-RELATED - RECEIPTS, MEASURED IN $","","10,426,000"
"Colorado.4310","COLORADO",8,"ROUTT",107,"EXPENSE TOTALS","EXPENSE TOTALS, OPERATING - EXPENSE, MEASURED IN $","","45,424,000"
"Colorado.4311","COLORADO",8,"ROUTT",107,"EXPENSE TOTALS","EXPENSE TOTALS, OPERATING - EXPENSE, MEASURED IN $ / OPERATION","","51,211"
"Colorado.4312","COLORADO",8,"ROUTT",107,"INCOME, NET CASH FARM","INCOME, NET CASH FARM, OF OPERATIONS - OPERATIONS WITH NET INCOME","","887"
"Colorado.4313","COLORADO",8,"ROUTT",107,"INCOME, NET CASH FARM","INCOME, NET CASH FARM, OF OPERATIONS - NET INCOME, MEASURED IN $","","-2,389,000"
"Colorado.4314","COLORADO",8,"ROUTT",107,"INCOME, NET CASH FARM","INCOME, NET CASH FARM, OF OPERATIONS - NET INCOME, MEASURED IN $ / OPERATION","","-2,694"
"Colorado.4315","COLORADO",8,"ROUTT",107,"CATTLE","CATTLE, INCL CALVES - OPERATIONS WITH INVENTORY","","282"
"Colorado.4316","COLORADO",8,"ROUTT",107,"CATTLE","CATTLE, INCL CALVES - INVENTORY","","24,882"
"Colorado.4317","COLORADO",8,"ROUTT",107,"CATTLE","CATTLE, COWS, BEEF - OPERATIONS WITH INVENTORY","","232"
"Colorado.4318","COLORADO",8,"ROUTT",107,"CATTLE","CATTLE, COWS, BEEF - INVENTORY","","15,831"
"Colorado.4319","COLORADO",8,"ROUTT",107,"CATTLE","CATTLE, COWS, MILK - OPERATIONS WITH INVENTORY","","11"
"Colorado.4320","COLORADO",8,"ROUTT",107,"CATTLE","CATTLE, COWS, MILK - INVENTORY","","23"
"Colorado.4321","COLORADO",8,"ROUTT",107,"CATTLE","CATTLE, INCL CALVES - OPERATIONS WITH SALES","","250"
"Colorado.4322","COLORADO",8,"ROUTT",107,"CATTLE","CATTLE, INCL CALVES - SALES, MEASURED IN HEAD","","25,508"
"Colorado.4323","COLORADO",8,"ROUTT",107,"HOGS","HOGS - OPERATIONS WITH INVENTORY","","10"
"Colorado.4324","COLORADO",8,"ROUTT",107,"HOGS","HOGS - INVENTORY","","24"
"Colorado.4325","COLORADO",8,"ROUTT",107,"HOGS","HOGS - OPERATIONS WITH SALES","","25"
"Colorado.4326","COLORADO",8,"ROUTT",107,"HOGS","HOGS - SALES, MEASURED IN HEAD","","133"
"Colorado.4327","COLORADO",8,"ROUTT",107,"SHEEP","SHEEP, INCL LAMBS - OPERATIONS WITH INVENTORY","","30"
"Colorado.4328","COLORADO",8,"ROUTT",107,"SHEEP","SHEEP, INCL LAMBS - INVENTORY","","14,163"
"Colorado.4329","COLORADO",8,"ROUTT",107,"CHICKENS","CHICKENS, LAYERS - OPERATIONS WITH INVENTORY","","79"
"Colorado.4330","COLORADO",8,"ROUTT",107,"CHICKENS","CHICKENS, LAYERS - INVENTORY","","1,469"
"Colorado.4331","COLORADO",8,"ROUTT",107,"CHICKENS","CHICKENS, BROILERS - OPERATIONS WITH SALES","","4"
"Colorado.4332","COLORADO",8,"ROUTT",107,"CHICKENS","CHICKENS, BROILERS - SALES, MEASURED IN HEAD","","51"
"Colorado.4333","COLORADO",8,"ROUTT",107,"WHEAT","WHEAT - OPERATIONS WITH AREA HARVESTED","","5"
"Colorado.4334","COLORADO",8,"ROUTT",107,"WHEAT","WHEAT - ACRES HARVESTED","","970"
"Colorado.4335","COLORADO",8,"ROUTT",107,"WHEAT","WHEAT - PRODUCTION, MEASURED IN BU","","27,150"
"Colorado.4336","COLORADO",8,"ROUTT",107,"WHEAT","WHEAT, WINTER - OPERATIONS WITH AREA HARVESTED","","5"
"Colorado.4337","COLORADO",8,"ROUTT",107,"WHEAT","WHEAT, WINTER - ACRES HARVESTED","","970"
"Colorado.4338","COLORADO",8,"ROUTT",107,"WHEAT","WHEAT, WINTER - PRODUCTION, MEASURED IN BU","","27,150"
"Colorado.4339","COLORADO",8,"ROUTT",107,"HAY & HAYLAGE","HAY & HAYLAGE - OPERATIONS WITH AREA HARVESTED","","594"
"Colorado.4340","COLORADO",8,"ROUTT",107,"HAY & HAYLAGE","HAY & HAYLAGE - ACRES HARVESTED","","46,475"
"Colorado.4341","COLORADO",8,"ROUTT",107,"HAY & HAYLAGE","HAY & HAYLAGE - PRODUCTION, MEASURED IN TONS, DRY BASIS","","58,273"
"Colorado.4342","COLORADO",8,"ROUTT",107,"VEGETABLE TOTALS","VEGETABLE TOTALS, IN THE OPEN - OPERATIONS WITH AREA HARVESTED","","4"
"Colorado.4343","COLORADO",8,"ROUTT",107,"VEGETABLE TOTALS","VEGETABLE TOTALS, IN THE OPEN - ACRES HARVESTED","","16"
"Colorado.4344","COLORADO",8,"ROUTT",107,"POTATOES","POTATOES - OPERATIONS WITH AREA HARVESTED","","2"
"Colorado.4345","COLORADO",8,"ROUTT",107,"POTATOES","POTATOES - ACRES HARVESTED","","(D)"
"Colorado.4346","COLORADO",8,"ROUTT",107,"ORCHARDS","ORCHARDS - OPERATIONS WITH AREA BEARING & NON-BEARING","","5"
"Colorado.4347","COLORADO",8,"ROUTT",107,"ORCHARDS","ORCHARDS - ACRES BEARING & NON-BEARING","","3"
"Colorado.4348","COLORADO",8,"ROUTT",107,"AG LAND","AG LAND, INCL BUILDINGS - OPERATIONS WITH ASSET VALUE","","887"
"Colorado.4349","COLORADO",8,"SAGUACHE",109,"FARM OPERATIONS","FARM OPERATIONS - NUMBER OF OPERATIONS","","288"
"Colorado.4350","COLORADO",8,"SAGUACHE",109,"FARM OPERATIONS","FARM OPERATIONS - NUMBER OF OPERATIONS","AREA OPERATED: (1.0 TO 9.9 ACRES)","25"
"Colorado.4351","COLORADO",8,"SAGUACHE",109,"FARM OPERATIONS","FARM OPERATIONS - NUMBER OF OPERATIONS","AREA OPERATED: (10.0 TO 49.9 ACRES)","43"
"Colorado.4352","COLORADO",8,"SAGUACHE",109,"FARM OPERATIONS","FARM OPERATIONS - NUMBER OF OPERATIONS","AREA OPERATED: (50 TO 179 ACRES)","64"
"Colorado.4353","COLORADO",8,"SAGUACHE",109,"FARM OPERATIONS","FARM OPERATIONS - NUMBER OF OPERATIONS","AREA OPERATED: (180 TO 499 ACRES)","36"
"Colorado.4354","COLORADO",8,"SAGUACHE",109,"FARM OPERATIONS","FARM OPERATIONS - NUMBER OF OPERATIONS","AREA OPERATED: (500 TO 999 ACRES)","47"
"Colorado.4355","COLORADO",8,"SAGUACHE",109,"FARM OPERATIONS","FARM OPERATIONS - NUMBER OF OPERATIONS","AREA OPERATED: (1,000 OR MORE ACRES)","73"
"Colorado.4356","COLORADO",8,"SAGUACHE",109,"FARM OPERATIONS","FARM OPERATIONS - ACRES OPERATED","","313,811"
"Colorado.4357","COLORADO",8,"SAGUACHE",109,"FARM OPERATIONS","FARM OPERATIONS - AREA OPERATED, MEASURED IN ACRES / OPERATION","","1,090"
"Colorado.4358","COLORADO",8,"SAGUACHE",109,"FARM OPERATIONS","FARM OPERATIONS - AREA OPERATED, MEASURED IN ACRES / OPERATION, MEDIAN","","280"
"Colorado.4359","COLORADO",8,"SAGUACHE",109,"AG LAND","AG LAND, INCL BUILDINGS - ASSET VALUE, MEASURED IN $ / OPERATION","","2,068,512"
"Colorado.4360","COLORADO",8,"SAGUACHE",109,"AG LAND","AG LAND, INCL BUILDINGS - ASSET VALUE, MEASURED IN $ / ACRE","","1,898"
"Colorado.4361","COLORADO",8,"SAGUACHE",109,"MACHINERY TOTALS","MACHINERY TOTALS - ASSET VALUE, MEASURED IN $","","63,005,000"
"Colorado.4362","COLORADO",8,"SAGUACHE",109,"MACHINERY TOTALS","MACHINERY TOTALS - ASSET VALUE, MEASURED IN $ / OPERATION","","218,769"
"Colorado.4363","COLORADO",8,"SAGUACHE",109,"AG LAND","AG LAND, CROPLAND - NUMBER OF OPERATIONS","","172"
"Colorado.4364","COLORADO",8,"SAGUACHE",109,"AG LAND","AG LAND, CROPLAND - ACRES","","132,699"
"Colorado.4365","COLORADO",8,"SAGUACHE",109,"AG LAND","AG LAND, CROPLAND, HARVESTED - NUMBER OF OPERATIONS","","157"
"Colorado.4366","COLORADO",8,"SAGUACHE",109,"AG LAND","AG LAND, CROPLAND, HARVESTED - ACRES","","99,231"
"Colorado.4367","COLORADO",8,"SAGUACHE",109,"AG LAND","AG LAND, IRRIGATED - NUMBER OF OPERATIONS","","174"
"Colorado.4368","COLORADO",8,"SAGUACHE",109,"AG LAND","AG LAND, IRRIGATED - ACRES","","118,411"
"Colorado.4369","COLORADO",8,"SAGUACHE",109,"COMMODITY TOTALS","COMMODITY TOTALS - SALES, MEASURED IN $","","105,403,000"
"Colorado.4370","COLORADO",8,"SAGUACHE",109,"COMMODITY TOTALS","COMMODITY TOTALS - SALES, MEASURED IN $ / OPERATION","","365,983"
"Colorado.4371","COLORADO",8,"SAGUACHE",109,"CROP TOTALS","CROP TOTALS - SALES, MEASURED IN $","","90,393,000"
"Colorado.4372","COLORADO",8,"SAGUACHE",109,"ANIMAL TOTALS","ANIMAL TOTALS, INCL PRODUCTS - SALES, MEASURED IN $","","15,010,000"
"Colorado.4373","COLORADO",8,"SAGUACHE",109,"COMMODITY TOTALS","COMMODITY TOTALS - OPERATIONS WITH SALES","",""
"Colorado.4374","COLORADO",8,"SAGUACHE",109,"COMMODITY TOTALS","COMMODITY TOTALS - OPERATIONS WITH SALES","FARM SALES: (LESS THAN 2,500 $)","94"
"Colorado.4375","COLORADO",8,"SAGUACHE",109,"COMMODITY TOTALS","COMMODITY TOTALS - OPERATIONS WITH SALES","FARM SALES: (2,500 TO 4,999 $)","16"
"Colorado.4376","COLORADO",8,"SAGUACHE",109,"COMMODITY TOTALS","COMMODITY TOTALS - OPERATIONS WITH SALES","FARM SALES: (5,000 TO 9,999 $)","17"
"Colorado.4377","COLORADO",8,"SAGUACHE",109,"COMMODITY TOTALS","COMMODITY TOTALS - OPERATIONS WITH SALES","FARM SALES: (10,000 TO 24,999 $)","23"
"Colorado.4378","COLORADO",8,"SAGUACHE",109,"COMMODITY TOTALS","COMMODITY TOTALS - OPERATIONS WITH SALES","FARM SALES: (25,000 TO 49,999 $)","17"
"Colorado.4379","COLORADO",8,"SAGUACHE",109,"COMMODITY TOTALS","COMMODITY TOTALS - OPERATIONS WITH SALES","FARM SALES: (50,000 TO 99,999 $)","22"
"Colorado.4380","COLORADO",8,"SAGUACHE",109,"COMMODITY TOTALS","COMMODITY TOTALS - OPERATIONS WITH SALES","FARM SALES: (100,000 OR MORE $)","99"
"Colorado.4381","COLORADO",8,"SAGUACHE",109,"GOVT PROGRAMS","GOVT PROGRAMS, FEDERAL - OPERATIONS WITH RECEIPTS","","54"
"Colorado.4382","COLORADO",8,"SAGUACHE",109,"GOVT PROGRAMS","GOVT PROGRAMS, FEDERAL - RECEIPTS, MEASURED IN $","","843,000"
"Colorado.4383","COLORADO",8,"SAGUACHE",109,"INCOME, FARM-RELATED","INCOME, FARM-RELATED - OPERATIONS WITH RECEIPTS","","127"
"Colorado.4384","COLORADO",8,"SAGUACHE",109,"INCOME, FARM-RELATED","INCOME, FARM-RELATED - RECEIPTS, MEASURED IN $","","4,178,000"
"Colorado.4385","COLORADO",8,"SAGUACHE",109,"EXPENSE TOTALS","EXPENSE TOTALS, OPERATING - EXPENSE, MEASURED IN $","","77,727,000"
"Colorado.4386","COLORADO",8,"SAGUACHE",109,"EXPENSE TOTALS","EXPENSE TOTALS, OPERATING - EXPENSE, MEASURED IN $ / OPERATION","","269,884"
"Colorado.4387","COLORADO",8,"SAGUACHE",109,"INCOME, NET CASH FARM","INCOME, NET CASH FARM, OF OPERATIONS - OPERATIONS WITH NET INCOME","","288"
"Colorado.4388","COLORADO",8,"SAGUACHE",109,"INCOME, NET CASH FARM","INCOME, NET CASH FARM, OF OPERATIONS - NET INCOME, MEASURED IN $","","32,697,000"
"Colorado.4389","COLORADO",8,"SAGUACHE",109,"INCOME, NET CASH FARM","INCOME, NET CASH FARM, OF OPERATIONS - NET INCOME, MEASURED IN $ / OPERATION","","113,532"
"Colorado.4390","COLORADO",8,"SAGUACHE",109,"CATTLE","CATTLE, INCL CALVES - OPERATIONS WITH INVENTORY","","116"
"Colorado.4391","COLORADO",8,"SAGUACHE",109,"CATTLE","CATTLE, INCL CALVES - INVENTORY","","21,264"
"Colorado.4392","COLORADO",8,"SAGUACHE",109,"CATTLE","CATTLE, COWS, BEEF - OPERATIONS WITH INVENTORY","","104"
"Colorado.4393","COLORADO",8,"SAGUACHE",109,"CATTLE","CATTLE, COWS, BEEF - INVENTORY","","14,374"
"Colorado.4394","COLORADO",8,"SAGUACHE",109,"CATTLE","CATTLE, COWS, MILK - OPERATIONS WITH INVENTORY","","6"
"Colorado.4395","COLORADO",8,"SAGUACHE",109,"CATTLE","CATTLE, COWS, MILK - INVENTORY","","10"
"Colorado.4396","COLORADO",8,"SAGUACHE",109,"CATTLE","CATTLE, INCL CALVES - OPERATIONS WITH SALES","","89"
"Colorado.4397","COLORADO",8,"SAGUACHE",109,"CATTLE","CATTLE, INCL CALVES - SALES, MEASURED IN HEAD","","17,036"
"Colorado.4398","COLORADO",8,"SAGUACHE",109,"HOGS","HOGS - OPERATIONS WITH INVENTORY","","7"
