state,county,ag_land_cropland_acres,ag_land_cropland_number_of_operations,ag_land_cropland_harvested_acres,ag_land_cropland_harvested_number_of_operations,ag_land_incl_buildings_asset_value_measured_in_$_acre,ag_land_incl_buildings_asset_value_measured_in_$_operation,ag_land_incl_buildings_operations_with_asset_value,ag_land_irrigated_acres,ag_land_irrigated_number_of_operations,animal_totals_incl_products_sales_measured_in_$,barley_acres_harvested,barley_operations_with_area_harvested,barley_production_measured_in_bu,beans_dry_edible_(excl_chickpeas_&_lima)_acres_harvested,beans_dry_edible_(excl_chickpeas_&_lima)_operations_with_area_harvested,beans_dry_edible_(excl_chickpeas_&_lima)_production_measured_in_cwt,cattle_cows_beef_inventory,cattle_cows_beef_operations_with_inventory,cattle_cows_milk_inventory,cattle_cows_milk_operations_with_inventory,cattle_incl_calves_inventory,cattle_incl_calves_operations_with_inventory,cattle_incl_calves_operations_with_sales,cattle_incl_calves_sales_measured_in_head,chickens_broilers_operations_with_sales,chickens_broilers_sales_measured_in_head,chickens_layers_inventory,chickens_layers_operations_with_inventory,commodity_totals_operations_with_sales,commodity_totals_sales_measured_in_$,commodity_totals_sales_measured_in_$_operation,corn_grain_acres_harvested,corn_grain_operations_with_area_harvested,corn_grain_production_measured_in_bu,corn_silage_acres_harvested,corn_silage_operations_with_area_harvested,corn_silage_production_measured_in_tons,crop_totals_sales_measured_in_$,expense_totals_operating_expense_measured_in_$,expense_totals_operating_expense_measured_in_$_operation,farm_operations_acres_operated,farm_operations_area_operated_measured_in_acres_operation,farm_operations_area_operated_measured_in_acres_operation_median,farm_operations_number_of_operations,govt_programs_federal_operations_with_receipts,govt_programs_federal_receipts_measured_in_$,hay_&_haylage_acres_harvested,hay_&_haylage_operations_with_area_harvested,hay_&_haylage_production_measured_in_tons_dry_basis,hogs_inventory,hogs_operations_with_inventory,hogs_operations_with_sales,hogs_sales_measured_in_head,income_farm_related_operations_with_receipts,income_farm_related_receipts_measured_in_$,income_net_cash_farm_of_operations_net_income_measured_in_$,income_net_cash_farm_of_operations_net_income_measured_in_$_operation,income_net_cash_farm_of_operations_operations_with_net_income,machinery_totals_asset_value_measured_in_$,machinery_totals_asset_value_measured_in_$_operation,oats_acres_harvested,oats_operations_with_area_harvested,oats_production_measured_in_bu,orchards_acres_bearing_&_non_bearing,orchards_operations_with_area_bearing_&_non_bearing,potatoes_acres_harvested,potatoes_operations_with_area_harvested,sheep_incl_lambs_inventory,sheep_incl_lambs_operations_with_inventory,sorghum_grain_acres_harvested,sorghum_grain_operations_with_area_harvested,sorghum_grain_production_measured_in_bu,sorghum_silage_acres_harvested,sorghum_silage_operations_with_area_harvested,sorghum_silage_production_measured_in_tons,soybeans_acres_harvested,soybeans_operations_with_area_harvested,soybeans_production_measured_in_bu,sugarbeets_acres_harvested,sugarbeets_operations_with_area_harvested,sugarbeets_production_measured_in_tons,sunflower_acres_harvested,sunflower_operations_with_area_harvested,sunflower_production_measured_in_lb,sweet_potatoes_acres_harvested,sweet_potatoes_operations_with_area_harvested,vegetable_totals_in_the_open_acres_harvested,vegetable_totals_in_the_open_operations_with_area_harvested,wheat_acres_harvested,wheat_operations_with_area_harvested,wheat_production_measured_in_bu,wheat_spring_(excl_durum)_acres_harvested,wheat_spring_(excl_durum)_operations_with_area_harvested,wheat_spring_(excl_durum)_production_measured_in_bu,wheat_spring_durum_acres_harvested,wheat_spring_durum_operations_with_area_harvested,wheat_spring_durum_production_measured_in_bu,wheat_winter_acres_harvested,wheat_winter_operations_with_area_harvested,wheat_winter_production_measured_in_bu
colorado,las animas,"75,578",280,"25,731",210,602,"1,968,541",549,"17,327",193,"22,056,000",0,0,0,488,7,"8,382","28,174",294,4,3,"41,650",310,287,"24,680",1,0,"13,150",62,198,"25,847,000","47,080",0,3,0,0,0,0,"3,791,000","27,654,000","50,371","1,796,248","3,272",520,549,151,"4,168,000","17,809",191,"37,649",48,15,13,34,197,"4,255,000","6,616,000","12,051",549,"44,175,000","80,465",0,0,0,0,1,0,0,96,15,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5,7,"6,793",8,"101,558",0,0,0,0,0,0,"6,793",8,"101,558"
colorado,lincoln,"588,312",316,0,184,704,"2,158,581",489,"5,804",31,"27,901,000",0,1,0,0,1,0,"26,726",233,19,11,"42,545",252,233,"30,647",0,0,703,17,185,"67,900,000","138,854","32,484",54,"1,873,924",0,1,0,"39,999,000","59,719,000","122,125","1,499,785","3,067","1,135",489,302,"10,318,000","31,641",97,"54,964",229,7,7,659,258,"4,861,000","23,359,000","47,769",489,"98,250,000","200,920",0,0,0,0,0,0,0,147,12,"12,734",38,"484,648","4,140",7,"7,800",0,2,0,0,0,0,"9,048",17,"9,305,492",0,0,0,0,"126,768",114,"5,524,694",0,0,0,0,0,0,"126,768",114,"5,524,694"
colorado,logan,"562,650",637,"338,105",471,"1,188","1,570,536",861,"107,058",234,"518,782,000",260,8,"15,888",533,8,"11,974","26,634",322,19,9,"225,744",388,355,"356,853",2,0,"2,405",76,258,"617,928,000","717,687","95,667",191,"14,062,142","8,289",22,"190,763","99,146,000","569,096,000","660,971","1,138,144","1,322",402,861,592,"11,511,000","56,557",287,"177,454","17,044",22,23,"45,871",505,"10,166,000","70,509,000","81,892",861,"179,729,000","208,745",497,5,"24,791",0,2,0,0,825,15,"14,404",26,"662,203",347,3,"5,087",944,11,"52,145","5,984",23,"213,940","6,537",15,"5,515,092",0,0,0,3,"118,197",242,"4,932,807",0,1,0,0,0,0,0,241,0
colorado,mesa,"79,815","1,916","50,065","1,750","5,523","767,492","2,465","76,221","2,025","48,271,000",0,0,0,173,11,"1,987","29,806",648,537,31,"46,952",810,569,"28,255",6,71,0,537,"1,434","94,186,000","38,209","5,111",60,"1,006,529","1,589",36,"37,026","45,915,000","86,090,000","34,925","342,534",139,10,"2,465",97,"730,000","36,164","1,426","94,201",444,86,88,"1,196",679,"5,062,000","13,889,000","5,634","2,465","141,120,000","57,249",260,7,"19,000","2,895",311,19,10,"18,634",141,0,0,0,0,0,0,0,2,0,0,0,0,0,1,0,0,1,660,80,"2,821",21,"273,286",0,0,0,0,0,0,"2,821",21,"273,286"
colorado,mineral,742,8,0,4,"3,441","1,526,408",19,"2,887",8,"80,000",0,0,0,0,0,0,0,3,0,0,105,3,4,110,0,0,0,2,13,0,0,0,0,0,0,0,0,0,"526,000","27,693","8,428",444,240,19,2,0,370,3,472,0,0,0,0,14,"241,000","-152,000","-7,990",19,"595,000","31,306",0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
colorado,moffat,"123,447",322,"48,941",227,799,"1,648,562",462,"30,141",129,"29,277,000",0,0,0,0,0,0,"23,712",172,18,10,"34,663",196,168,"24,663",0,0,"1,145",75,218,"33,138,000","71,728",0,0,0,0,2,0,"3,861,000","28,720,000","62,165","953,100","2,063",232,462,122,"2,109,000","37,534",218,"61,171",507,35,20,436,149,"2,690,000","9,217,000","19,950",462,"49,668,000","107,741",0,2,0,0,0,0,0,"54,647",31,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,"10,961",16,"275,489",322,3,0,0,0,0,"10,639",14,0
colorado,montezuma,"117,243",796,"76,013",620,"1,211","744,860","1,123","79,029",822,"16,576,000",225,3,"13,500","4,329",19,"52,877","14,461",405,33,15,"26,889",446,364,"18,372",5,240,"5,092",174,545,"46,424,000","41,340","3,578",6,"397,452",741,11,"17,040","29,848,000","42,442,000","37,794","690,788",615,50,"1,123",149,"1,237,000","47,886",519,"174,961",981,29,26,260,333,"3,249,000","8,468,000","7,541","1,123","95,598,000","85,128",0,0,0,239,68,8,8,"2,468",79,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,2,86,47,"18,115",41,"917,138","2,497",14,"101,630",0,0,0,"15,618",34,"815,508"
colorado,montrose,"65,605",832,"45,940",754,"3,093","900,826","1,135","79,821",954,"62,758,000",109,4,"9,745","2,562",33,"58,160",0,424,0,7,"53,051",485,428,"35,764",14,"1,932","352,317",172,479,"81,226,000","71,565","5,128",67,"968,698","2,107",28,"49,359","18,468,000","74,391,000","65,543","330,523",291,40,"1,135",116,"792,000","31,859",662,"64,029","1,331",41,55,"2,122",374,"2,381,000","10,008,000","8,817","1,135","90,708,000","79,919",127,7,"7,980",242,34,7,5,"13,086",55,0,1,0,0,2,0,376,14,"18,573",0,0,0,0,1,0,0,0,"2,065",40,320,10,"27,840",0,1,0,0,0,0,0,10,0
colorado,morgan,"340,373",547,"207,058",407,"1,735","1,546,382",740,"132,296",329,"469,555,000",0,0,0,413,4,"14,478","19,909",248,"34,838",20,"223,038",324,288,"242,439",7,270,"1,658",74,228,"559,535,000","756,128","58,136",170,"9,570,940","26,184",88,"663,083","89,981,000","514,596,000","695,400","659,366",891,230,740,399,"6,040,000","40,188",265,"170,495",686,23,33,485,324,"7,946,000","58,925,000","79,628",740,"178,613,000","241,369",0,2,0,0,2,0,1,"4,775",47,"1,203",7,"40,288",0,3,0,0,1,0,"1,517",18,"49,831",0,0,0,0,0,581,25,"61,216",119,"2,928,395",0,1,0,0,0,0,0,118,0
colorado,otero,"78,064",281,"50,652",234,750,"1,162,135",444,"49,291",252,"90,980,000",0,0,0,"1,007",8,"20,931","15,575",194,10,4,"75,253",217,184,"77,219",0,0,816,43,134,"121,550,000","273,760","8,956",77,"1,590,136","1,491",16,"26,293","30,569,000","111,886,000","251,996","687,530","1,548",120,444,217,"2,724,000","29,845",225,"117,337",192,12,12,273,178,"2,705,000","15,092,000","33,992",444,"65,881,000","148,382",0,0,0,0,2,0,0,"2,362",15,"1,298",12,"113,189","5,325",36,"105,342",0,0,0,0,0,0,0,0,0,0,0,"1,804",18,"1,151",11,"55,229",0,0,0,0,0,0,"1,151",11,"55,229"
colorado,ouray,"8,624",63,"7,883",53,"3,054","2,130,534",122,"8,603",80,"3,481,000",0,0,0,0,0,0,0,57,0,1,"4,395",62,52,"3,313",1,0,307,22,60,"4,204,000","34,463",0,0,0,0,0,0,"723,000","5,841,000","47,875","85,105",698,47,122,5,"64,000","7,838",50,"13,425",15,3,1,0,46,"1,846,000","274,000","2,242",122,"10,852,000","88,951",0,0,0,0,1,1,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5,3,0,0,0,0,0,0,0,0,0,0,0,0
colorado,park,"11,163",82,"6,934",75,"1,680","1,142,769",278,"12,040",62,"4,725,000",0,0,0,0,0,0,"4,038",125,5,3,"7,574",142,105,"4,985",1,0,696,44,153,"5,107,000","18,371",0,0,0,0,0,0,"383,000","7,264,000","26,131","189,110",680,119,278,7,"26,000","6,924",67,"7,314",20,6,12,64,92,"1,472,000","-659,000","-2,370",278,"15,349,000","55,212",0,0,0,0,0,0,0,72,8,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0
colorado,phillips,"384,426",280,"248,339",224,"1,692","2,279,496",326,"79,278",109,"86,298,000",0,0,0,"3,028",18,"93,879",0,60,0,2,"27,298",84,84,"41,464",0,0,131,4,60,"174,241,000","534,481","118,783",136,"17,936,205","2,986",10,"70,537","87,942,000","153,525,000","470,936","439,213","1,347",530,326,259,"8,706,000","5,248",41,"13,227",0,2,4,0,209,"7,139,000","36,561,000","112,149",326,"105,641,000","324,052",0,0,0,0,0,0,1,0,1,"1,458",9,"96,807",0,0,0,247,4,"4,991","1,292",4,"44,109",0,1,0,0,0,0,1,"95,730",178,"5,300,991",0,0,0,0,0,0,"95,730",178,"5,300,991"
colorado,pitkin,"5,902",72,"4,555",61,"7,617","2,225,232",112,"10,082",79,"1,896,000",0,0,0,0,0,0,0,20,0,2,"2,535",36,30,"1,766",1,0,247,11,50,"2,912,000","25,996",0,0,0,0,0,0,"1,016,000","5,247,000","46,844","32,718",292,37,112,0,0,"4,494",59,"7,286",0,0,0,0,46,"390,000","-1,945,000","-17,364",112,"9,884,000","88,246",0,0,0,0,0,0,0,121,5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,4,0,0,0,0,0,0,0,0,0,0,0,0
colorado,prowers,"525,180",392,0,249,806,"1,726,199",472,"88,311",185,"247,236,000",0,0,0,0,0,0,0,128,0,1,"96,398",147,124,"160,819",2,0,338,18,181,"310,045,000","656,875","29,416",79,"4,283,514","4,606",23,"103,041","62,809,000","270,441,000","572,968","1,011,291","2,143",643,472,357,"9,185,000","57,812",166,"196,169",0,4,5,0,237,"4,845,000","53,634,000","113,631",472,"104,214,000","220,792",0,1,0,4,4,0,0,116,8,"35,067",76,"1,849,547",374,5,"6,364",0,1,0,0,0,0,"1,798",10,"2,407,642",0,0,0,0,"122,289",140,"4,761,603",0,0,0,0,0,0,"122,289",140,"4,761,603"
colorado,pueblo,"72,025",427,"19,147",271,"1,028","1,097,156",839,"18,078",260,"30,690,000",0,0,0,"1,624",13,"48,017","19,177",289,547,23,"37,418",348,260,"25,097",8,165,"2,943",171,485,"52,047,000","62,034","3,601",29,"771,648","1,677",25,"41,879","21,356,000","50,810,000","60,560","895,508","1,067",80,839,117,"2,117,000","10,626",225,"30,660","9,169",48,44,"21,188",180,"2,030,000","5,384,000","6,417",839,"63,659,000","76,147",0,2,0,11,14,3,3,"1,738",36,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,"1,179",29,0,1,0,0,0,0,0,0,0,0,1,0
colorado,rio blanco,"43,663",216,"29,221",193,"1,373","1,763,734",320,"27,124",208,"15,981,000",0,0,0,0,0,0,"16,792",122,5,5,"25,253",145,137,"16,155",2,0,534,58,140,"18,751,000","58,597",0,0,0,0,0,0,"2,770,000","19,558,000","61,119","410,923","1,284",110,320,43,"390,000","28,624",187,"44,522",0,1,5,40,112,"2,743,000","2,326,000","7,269",320,"32,343,000","101,073",0,0,0,0,1,0,0,"7,859",25,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0,0,0,0,0,1,0
colorado,rio grande,"109,145",238,"84,274",228,"3,123","1,726,626",321,"93,586",242,"11,198,000","18,567",60,"2,457,795",0,0,0,"7,011",97,28,5,"10,598",113,100,"7,527",0,0,570,18,78,"98,956,000","308,275",0,0,0,0,0,0,"87,758,000","72,275,000","225,156","177,452",553,164,321,85,"998,000","44,547",187,"153,737",312,11,12,208,185,"6,196,000","33,875,000","105,529",321,"100,102,000","311,844",0,2,0,0,0,0,48,"12,518",20,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,"17,732",48,"1,741",11,"176,455","1,405",8,"143,635",0,0,0,336,3,"32,820"
colorado,routt,"80,958",708,"47,525",613,"3,141","1,647,039",887,"42,745",338,"26,531,000",0,0,0,0,0,0,"15,831",232,23,11,"24,882",282,250,"25,508",4,51,"1,469",79,459,"31,647,000","35,679",0,0,0,0,0,0,"5,116,000","45,424,000","51,211","465,119",524,49,887,96,"962,000","46,475",594,"58,273",24,10,25,133,340,"10,426,000","-2,389,000","-2,694",887,"61,505,000","69,340",0,0,0,3,5,0,2,"14,163",30,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,16,4,970,5,"27,150",0,0,0,0,0,0,970,5,"27,150"
colorado,saguache,"132,699",172,"99,231",157,"1,898","2,068,512",288,"118,411",174,"15,010,000","14,116",34,"1,964,846",0,0,0,"14,374",104,10,6,"21,264",116,89,"17,036",0,0,0,35,94,"105,403,000","365,983",0,0,0,0,0,0,"90,393,000","77,727,000","269,884","313,811","1,090",280,288,54,"843,000","60,609",128,"167,897",56,7,8,44,127,"4,178,000","32,697,000","113,532",288,"63,005,000","218,769",0,2,0,0,3,"16,832",34,"3,597",26,0,2,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,"19,186",43,"2,239",11,"191,203",0,3,0,685,4,"70,589",0,4,0
colorado,san miguel,"14,259",83,"5,737",50,"1,490","1,524,124",133,"15,918",83,"5,479,000",0,0,0,0,1,0,0,66,0,1,"9,583",71,64,"5,781",1,0,596,14,51,"6,374,000","47,923",0,1,0,526,4,"11,120","895,000","7,353,000","55,283","136,062","1,023",185,133,20,"322,000","4,453",42,"7,358",0,2,3,0,54,"1,496,000","839,000","6,309",133,"10,513,000","79,047",0,0,0,4,4,0,1,892,19,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,654,4,"12,946",0,0,0,0,0,0,654,4,"12,946"
colorado,sedgwick,"228,063",189,"165,060",164,"1,353","2,226,323",212,"40,407",84,"47,619,000",0,0,0,"1,225",7,"22,869","6,041",66,0,0,"16,849",84,73,"13,532",0,0,357,8,29,"93,851,000","442,692","58,960",73,"8,446,067","1,250",7,"37,958","46,232,000","84,447,000","398,335","348,739","1,645",640,212,173,"4,776,000","5,696",52,"17,794",0,2,3,0,125,"3,554,000","17,734,000","83,649",212,"68,058,000","321,028",0,0,0,0,0,0,0,0,2,"3,211",17,"155,541",0,1,0,"1,696",10,"85,050",0,2,0,"5,013",7,"7,093,700",0,0,0,0,"70,420",119,"3,335,823",0,0,0,0,0,0,"70,420",119,"3,335,823"
colorado,summit,"6,768",36,"4,082",24,"4,225","2,041,182",55,"5,509",30,"968,000",0,0,0,0,0,0,"1,026",13,0,0,"1,399",15,21,"1,218",4,40,32,4,29,"1,492,000","27,129",0,0,0,0,0,0,"524,000","3,109,000","56,527","26,572",483,80,55,1,0,"4,057",24,"4,242",0,0,5,15,23,"249,000","-1,367,000","-24,851",55,"4,979,000","90,529",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
colorado,teller,"5,573",48,"1,884",39,"2,023","908,034",159,874,27,"1,091,000",0,0,0,0,0,0,"1,627",58,27,18,"2,425",71,46,"1,111",0,0,378,29,105,"1,242,000","7,812",0,0,0,0,0,0,"151,000","3,263,000","20,520","71,366",449,48,159,0,0,"1,643",17,"1,607",0,1,1,0,44,"433,000","-1,587,000","-9,982",159,"6,439,000","40,497",0,0,0,0,2,9,5,42,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,15,8,0,0,0,0,0,0,0,0,0,0,0,0
colorado,washington,"836,159",591,"473,869",390,"1,098","1,969,481",757,"40,427",92,"90,557,000",0,2,0,207,4,"3,540",0,246,0,1,"73,532",287,255,"64,464",2,0,"9,995",56,269,"184,558,000","243,802","121,491",129,"10,633,922","4,167",11,"126,722","94,001,000","174,359,000","230,330","1,357,931","1,794",480,757,550,"15,207,000","47,421",169,"116,119","3,860",23,24,"8,086",406,"9,450,000","34,856,000","46,044",757,"165,472,000","221,219",0,1,0,0,0,0,0,0,11,"19,855",45,"1,065,640","2,280",4,"30,405",385,4,"12,625",0,2,0,"2,318",8,"1,191,241",0,0,0,0,"219,114",295,"8,533,713",0,2,0,0,0,0,0,293,0
colorado,weld,"922,979","2,491","477,839","1,853","2,586","1,335,953","4,062","323,436","1,557","1,698,529,000","6,282",53,"715,977","9,075",69,"239,780","57,847","1,202","107,387",109,"582,267","1,572","1,188","755,188",27,0,"3,589,459",728,"1,914","2,047,177,000","503,982","105,661",388,"18,272,370","65,970",299,"1,662,884","348,647,000","1,719,824,000","423,393","2,098,803",517,66,"4,062","1,057","19,375,000","134,532","1,476","461,454","2,459",180,221,"5,368","1,512","48,482,000","395,210,000","97,295","4,062","648,553,000","159,664","1,046",10,"59,945",70,24,0,8,"180,468",180,"1,486",8,"45,332","1,619",22,"25,044",0,5,0,"14,520",125,"478,645","3,692",34,"2,437,616",0,0,"9,646",84,"110,603",285,"4,850,219",501,6,"28,106",0,0,0,"110,102",281,"4,822,113"
colorado,yuma,"628,161",534,"390,328",365,"1,633","2,953,997",774,"208,967",265,"718,895,000",600,5,"57,762","10,334",39,"294,620",0,341,0,13,"265,393",394,357,"400,818",2,0,738,41,236,"918,716,000","1,186,971","223,822",243,"41,943,607","7,662",32,"219,278","199,821,000","861,086,000","1,112,514","1,400,296","1,809",640,774,540,"19,612,000","19,607",143,"77,910",0,7,6,0,469,"15,129,000","92,370,000","119,341",774,"242,404,000","313,588",0,0,0,0,0,0,3,97,7,"9,432",31,"517,292",160,3,"2,130","4,913",21,"314,577","4,083",10,"149,769","2,575",12,"3,237,194",0,0,"2,107",4,"101,158",198,"5,213,712",770,4,"58,710",0,0,0,"100,388",194,"5,155,002"
montana,beaverhead,"162,767",303,"139,731",277,"1,317","3,290,191",494,"263,772",347,"80,983,000","8,392",22,"920,100",0,0,0,"71,880",223,10,4,"126,752",238,243,"76,312",0,0,773,70,166,"118,202,000","239,276",0,1,0,0,0,0,"37,220,000","95,350,000","193,017","1,233,811","2,498",115,494,42,"577,000","120,822",260,"330,404",0,2,8,49,213,"4,839,000","28,268,000","57,223",494,"99,378,000","201,987",0,0,0,0,1,0,3,"13,290",34,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,10,"8,162",15,"687,703","8,162",15,"687,703",0,0,0,0,0,0
montana,big horn,"223,799",231,"141,866",208,393,"3,546,651",353,"44,093",115,"50,601,000","11,129",34,"873,789",0,1,0,"52,726",193,0,0,"83,734",205,199,"54,437",1,0,395,27,78,"83,602,000","236,832","1,841",12,"268,161","1,833",12,"44,587","33,001,000","73,187,000","207,327","3,188,139","9,032",721,353,129,"2,444,000","57,239",184,"127,048",33,5,8,20,163,"3,769,000","16,628,000","47,106",353,"77,057,000","218,911",0,2,0,0,0,0,0,424,9,0,0,0,0,0,0,736,11,"19,451","4,980",22,"170,351",0,0,0,0,0,0,1,"57,213",57,"2,617,984","7,036",27,"349,949",0,0,0,"50,177",45,"2,268,035"
montana,blaine,"599,000",374,"340,763",316,592,"2,460,670",491,"44,226",175,"50,413,000","9,604",28,"301,417",0,0,0,0,226,0,2,"70,698",242,238,"50,326",1,0,0,17,127,"89,977,000","183,253",153,3,"8,670",743,9,"7,109","39,564,000","81,987,000","166,981","2,040,127","4,155","1,000",491,312,"10,435,000","69,099",250,"108,842",0,3,5,0,287,"14,318,000","32,743,000","66,687",491,"104,471,000","215,403",0,1,0,0,0,0,2,"3,036",21,0,0,0,0,0,0,154,5,"5,114",0,0,0,0,0,0,0,0,11,4,"204,033",122,"4,311,343","144,148",106,"2,666,334","15,992",18,"317,719","43,893",54,"1,327,290"
montana,broadwater,"112,503",224,"60,658",182,"1,170","1,844,915",296,"47,139",168,"17,178,000","2,808",15,"257,895",0,0,0,0,125,0,6,"23,154",136,123,"16,053",0,0,820,51,119,"39,688,000","134,080",0,0,0,716,6,"16,672","22,510,000","32,890,000","111,114","466,920","1,577",149,296,133,"2,336,000","31,292",159,"103,479",279,4,12,488,157,"2,935,000","12,069,000","40,774",296,"49,219,000","166,279",0,2,0,1,7,"1,427",4,"2,425",14,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,"1,432",6,"18,811",28,"1,112,058","11,130",22,"745,223",0,0,0,"7,681",16,"366,835"
montana,carbon,"134,972",554,"103,740",493,"1,484","1,669,647",725,"98,757",490,"65,965,000","11,896",79,"1,282,271",550,6,"14,918","33,793",338,7,6,"78,558",375,365,"65,435",2,0,"1,680",85,196,"99,023,000","136,584","3,712",39,"675,024","6,312",60,"158,934","33,059,000","79,430,000","109,558","815,758","1,125",202,725,236,"1,388,000","68,618",460,"172,970",154,18,29,178,349,"3,045,000","24,027,000","33,140",725,"111,653,000","154,004",920,14,"112,310",0,7,0,4,"6,765",49,0,0,0,0,0,0,0,2,0,"3,442",25,"118,372",0,0,0,0,0,41,6,"5,457",30,"230,496","1,387",18,"83,876",0,0,0,"4,070",14,"146,620"
montana,carter,"247,524",232,"112,920",174,538,"2,943,872",323,"2,312",27,"64,630,000",600,4,"20,607",0,0,0,"54,394",245,5,5,"91,252",245,247,"64,724",2,0,465,26,47,"70,628,000","218,664",787,6,"70,645",240,3,"5,280","5,998,000","56,878,000","176,094","1,767,723","5,473","4,085",323,222,"7,229,000","80,422",173,"66,771",0,0,0,0,186,"4,923,000","25,902,000","80,193",323,"85,865,000","270,868",0,0,0,0,0,0,0,"20,734",55,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,"24,813",18,"697,082",0,10,0,0,1,0,"11,939",12,"445,224"
montana,cascade,"419,999",752,"255,757",606,"1,212","1,499,361","1,027","35,695",309,"56,111,000","27,991",55,"1,527,687",0,0,0,"39,410",334,"1,157",15,"64,816",369,355,"42,187",6,"6,067","76,469",114,467,"107,273,000","104,453",0,0,0,0,0,0,"51,162,000","98,309,000","95,724","1,270,192","1,237",104,"1,027",439,"7,780,000","85,497",513,"158,038","30,135",21,20,"97,460",422,"5,022,000","21,766,000","21,194","1,027","137,749,000","134,128",0,2,0,0,4,11,7,"6,449",50,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,45,15,"120,054",119,"6,369,065","17,708",52,"667,375","5,862",15,"138,744","96,484",97,"5,562,946"
montana,chouteau,"1,309,653",581,"719,217",455,933,"3,053,370",633,"14,216",61,"27,131,000","55,603",105,"2,255,818",0,0,0,0,163,0,2,"37,644",170,158,"25,045",1,0,"93,291",23,156,"170,741,000","269,733","2,768",16,"86,711",0,0,0,"143,610,000","154,305,000","243,767","2,070,530","3,271","1,829",633,527,"21,813,000","40,367",213,"61,296",0,4,5,0,442,"12,032,000","50,282,000","79,434",633,"222,820,000","353,122","5,065",10,"143,300",0,0,4,4,577,10,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,18,5,"498,708",356,"21,118,943","152,890",239,"4,721,942","21,526",47,"643,590","324,292",295,"15,753,411"
montana,custer,"118,537",273,"63,556",237,536,"2,539,839",441,"37,223",157,"64,994,000",764,8,"26,795",0,1,0,"55,668",248,13,9,"90,952",271,271,"64,259",3,90,792,47,123,"76,622,000","173,745","2,688",14,"447,603","4,548",20,"98,520","11,627,000","67,211,000","152,405","2,088,806","4,737",600,441,166,"3,114,000","50,321",230,"104,686",36,6,10,39,216,"3,795,000","16,320,000","37,006",441,"75,264,000","170,666",0,2,0,0,1,0,1,"5,461",29,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,"4,648",18,"109,149","1,828",7,"40,951",0,0,0,"2,820",14,"68,198"
montana,daniels,"533,740",260,"358,369",157,634,"1,762,211",277,645,5,"9,561,000",286,9,"5,021",0,0,0,"11,403",79,0,0,"14,412",81,76,"10,718",0,0,110,3,122,"42,187,000","152,300",0,2,0,0,2,0,"32,626,000","54,085,000","195,254","769,786","2,779","1,220",277,237,"7,683,000","38,575",85,"25,024",0,1,2,0,174,"11,945,000","7,729,000","27,904",277,"82,431,000","297,586",0,1,0,0,0,0,1,286,7,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,1,"221,113",121,"3,329,845","105,118",82,"1,500,452","111,946",76,"1,679,477","4,049",6,"149,916"
montana,dawson,"368,144",351,"199,493",237,668,"1,554,263",487,"21,170",93,"32,581,000","2,302",19,"120,328","1,889",12,"48,925","24,574",230,25,11,"36,427",246,254,"34,140",3,360,722,18,160,"58,188,000","119,483","3,371",14,"182,988","1,913",21,"26,917","25,608,000","60,952,000","125,159","1,132,990","2,326",640,487,316,"7,569,000","29,645",159,"44,524",48,4,8,32,294,"9,855,000","14,659,000","30,100",487,"91,415,000","191,646",237,3,"5,002",0,0,0,1,"2,065",14,0,0,0,0,0,0,0,1,0,"2,568",10,"78,368","1,238",3,"560,000",0,0,0,1,"118,757",136,"2,064,077","108,637",130,"1,844,096","2,331",5,"25,304","7,789",19,"194,677"
